image,label
1,9
2,6
3,5
4,1
5,5
6,1
7,3
8,7
9,1
10,5
11,6
12,5
13,7
14,1
15,4
16,5
17,3
18,5
19,6
20,2
21,8
22,5
23,3
24,6
25,6
26,8
27,0
28,8
29,1
30,8
31,8
32,7
33,9
34,3
35,2
36,1
37,4
38,1
39,7
40,6
41,1
42,2
43,5
44,4
45,3
46,2
47,1
48,9
49,1
50,9
51,9
52,0
53,7
54,4
55,0
56,8
57,1
58,2
59,5
60,5
61,4
62,8
63,3
64,7
65,7
66,3
67,4
68,5
69,6
70,5
71,6
72,5
73,8
74,0
75,6
76,0
77,7
78,0
79,5
80,8
81,3
82,2
83,6
84,1
85,1
86,3
87,1
88,6
89,9
90,5
91,4
92,3
93,0
94,4
95,3
96,7
97,7
98,4
99,8
100,4
101,6
102,8
103,9
104,2
105,4
106,1
107,6
108,3
109,0
110,3
111,2
112,8
113,9
114,2
115,6
116,6
117,4
118,8
119,2
120,4
121,0
122,9
123,6
124,6
125,8
126,3
127,4
128,8
129,5
130,3
131,1
132,1
133,1
134,5
135,4
136,3
137,8
138,7
139,2
140,2
141,4
142,7
143,1
144,4
145,5
146,0
147,3
148,7
149,4
150,9
151,1
152,2
153,9
154,9
155,5
156,6
157,4
158,1
159,2
160,2
161,6
162,1
163,7
164,2
165,1
166,5
167,7
168,1
169,4
170,4
171,9
172,7
173,6
174,3
175,2
176,8
177,0
178,6
179,3
180,1
181,8
182,5
183,9
184,1
185,7
186,0
187,9
188,5
189,3
190,5
191,5
192,9
193,0
194,7
195,1
196,9
197,5
198,9
199,0
200,7
201,4
202,4
203,9
204,6
205,6
206,2
207,2
208,6
209,4
210,3
211,7
212,8
213,7
214,0
215,3
216,7
217,2
218,3
219,3
220,2
221,6
222,1
223,6
224,7
225,5
226,3
227,3
228,0
229,5
230,5
231,9
232,6
233,6
234,2
235,5
236,6
237,0
238,9
239,1
240,0
241,9
242,3
243,9
244,3
245,8
246,0
247,4
248,0
249,7
250,7
251,5
252,1
253,4
254,6
255,9
256,4
257,9
258,4
259,4
260,8
261,1
262,8
263,0
264,9
265,3
266,1
267,7
268,8
269,6
270,7
271,6
272,4
273,7
274,0
275,0
276,8
277,3
278,9
279,1
280,5
281,0
282,8
283,2
284,8
285,7
286,6
287,6
288,9
289,2
290,6
291,3
292,8
293,1
294,2
295,8
296,3
297,3
298,5
299,0
300,8
